name,building
,yes
,house
,house
,yes
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,garage
,house
,yes
,yes
,house
,yes
,house
,yes
,house
,yes
,yes
,house
,yes
,yes
,house
,yes
,yes
,yes
,yes
,yes
,yes
,house
,yes
Lowrie House,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,yes
,yes
,house
,yes
,house
,house
,yes
,yes
,house
,yes
,house
,yes
,yes
Morven Museum,yes
,yes
Princeton Borough Municipal Building,yes
,house
,yes
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,yes
,house
,house
,house
,yes
,house
,house
,yes
,house
,house
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,yes
,yes
,yes
,yes
,house
,yes
,yes
,house
The Peacock Inn,yes
,house
,yes
,house
,house
,house
,yes
,house
,house
,house
,house
,yes
,yes
,yes
,house
,yes
,house
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,yes
,house
,house
,house
,house
,yes
,yes
,house
,yes
,shed
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,shed
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
